"filename", "language", "TypeScript", "JSON with Comments", "Markdown", "TOML", "JavaScript", "HTML", "JSON", "PostCSS", "SCSS", "XML", "vue", "YAML", "comment", "blank", "total"
"c:\Users\notnotype\Documents\CodeRepository\GithubProjects\blue-archive\apps\blue-archive-story-editor\src\components\TheInput.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 0, 0, 4, 34
"c:\Users\notnotype\Documents\CodeRepository\GithubProjects\blue-archive\apps\blue-archive-story-editor\src\components\TheModal.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 61, 0, 0, 7, 68
"c:\Users\notnotype\Documents\CodeRepository\GithubProjects\blue-archive\apps\blue-archive-story-editor\src\components\TheSelect.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 0, 0, 2, 16
"c:\Users\notnotype\Documents\CodeRepository\GithubProjects\blue-archive\apps\blue-archive-story-editor\src\components\TheSelectOption.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 2, 12
"c:\Users\notnotype\Documents\CodeRepository\GithubProjects\blue-archive\apps\blue-archive-story-editor\src\components\VisualEditor\AddCard.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 0, 0, 3, 18
"c:\Users\notnotype\Documents\CodeRepository\GithubProjects\blue-archive\apps\blue-archive-story-editor\src\components\VisualEditor\BackgroundCard.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 0, 0, 5, 26
"c:\Users\notnotype\Documents\CodeRepository\GithubProjects\blue-archive\apps\blue-archive-story-editor\src\components\VisualEditor\BackgroundSelector.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 76, 0, 19, 11, 106
"c:\Users\notnotype\Documents\CodeRepository\GithubProjects\blue-archive\apps\blue-archive-story-editor\src\components\VisualEditor\BgmCard.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 0, 0, 4, 23
"c:\Users\notnotype\Documents\CodeRepository\GithubProjects\blue-archive\apps\blue-archive-story-editor\src\components\VisualEditor\CharacterCard.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 40, 0, 0, 6, 46
"c:\Users\notnotype\Documents\CodeRepository\GithubProjects\blue-archive\apps\blue-archive-story-editor\src\components\VisualEditor\CharacterSelect.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 106, 0, 0, 10, 116
